区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
湖北·武汉·武昌区,户部巷,2300176978,文化古迹,,热度 0.0,湖北省武汉市武昌区自由路,汉味早点特色街区,"114.30429,30.552322"
北京·北京·东城区,故宫,989946426,文化古迹,5A景区,热度 1.0,北京市东城区景山前街4号,世界五大宫之首，穿越与您近在咫尺,"116.403347,39.922148"
陕西·西安·临潼区,秦始皇陵博物院（兵马俑）,3261940195,文化古迹,5A景区,热度 0.8800000000000001,陕西省西安市临潼县秦始皇陵东1.5公里处,世界第八大奇迹,"109.266029,34.386024"
山东·枣庄·台儿庄区,台儿庄古城,3189624072,文化古迹,5A景区,热度 0.0,山东省枣庄市台儿庄区华兴路东段,被誉为“中华民族扬威不屈之地”,"117.747047,34.563186"
北京·北京·延庆县,八达岭长城,777857128,文化古迹,5A景区,热度 0.82,北京市延庆县军都山关沟古道北口216省道附近,不到长城非好汉,"116.03293,40.369733"
安徽·黄山·黟县,西递村,3132765579,文化古迹,5A景区,热度 0.7,安徽省黄山市黟县西递镇西递村,徽派建筑，乡间水墨画,"118.003549,29.91024"
江苏·苏州·金阊区,寒山寺,891967151,文化古迹,4A景区,热度 0.8800000000000001,江苏省苏州市金阊区寒山寺弄24号,姑苏城外寒山寺，夜半钟声到客船,"120.574213,31.316189"
四川·成都·都江堰市,都江堰,1582294258,文化古迹,5A景区,热度 1.0,四川省成都市都江堰市,感受都江堰水利工程的古人智慧,"103.620123,31.006855"
北京·北京·海淀区,颐和园,4268080051,文化古迹,5A景区,热度 0.82,北京市海淀区新建宫门路19号,保存完整的一座皇家行宫御苑,"116.276887,39.999497"
江苏·苏州·平江区,拙政园,641515105,文化古迹,5A景区,热度 1.0,江苏省苏州市平江区东北街178号,庭院错落，花木为胜，天下园林之典范,"120.635191,31.330583"
重庆·重庆·武隆县,武隆天坑地缝国家地质公园,669575040,文化古迹,5A景区,热度 0.0,重庆市武隆县银杏大道武隆喀斯特旅游区,反映地球演化历史的杰出范例,"107.773314,29.423324"
浙江·金华·东阳市,横店影视城,3924856566,文化古迹,5A景区,热度 1.0,浙江省金华东阳市横店镇横店影视城,被誉为“中国好莱坞”,"120.345446,29.162213"
四川·乐山·峨眉山市,峨眉山,69638736,文化古迹,5A景区,热度 1.0,四川省乐山峨眉山市峨眉山风景名胜区,云上金顶，天下峨眉,"103.342036,29.522835"
江苏·南京·玄武区,南京总统府,243830915,文化古迹,4A景区,热度 0.8,江苏省南京市玄武区长江路292号,了解中国近代史，切记勿忘国耻,"118.803688,32.049877"
北京·北京·海淀区,圆明园,1427399043,文化古迹,4A景区,热度 0.76,北京市海淀区清华西路28号,追忆昔日万园之园,"116.314607,40.01629"
湖北·武汉·武昌区,黄鹤楼,898602836,文化古迹,5A景区,热度 1.0,湖北省武汉市武昌区蛇山,孤帆远影碧空尽，唯见长江天际流,"114.309047,30.550272"
四川·乐山·市中区,乐山大佛,3732199411,文化古迹,5A景区,热度 0.82,四川省乐山市市中区凌云路2435号簏子街,摩崖石刻造像,"103.779093,29.550402"
四川·成都·都江堰市,青城山,2833668773,文化古迹,5A景区,热度 0.96,四川省成都市都江堰市青城山路,青城山下白素贞，洞中千年修此身,"103.578829,30.903727"
安徽·黄山·黟县,宏村,2450169620,文化古迹,5A景区,热度 0.78,安徽省黄山市黟县宏村镇宏村里,炊烟袅袅升起，行走在皖南小山村,"117.995474,30.010385"
安徽·黄山·黄山区,黄山风景区,3346106506,文化古迹,5A景区,热度 1.0,安徽省黄山市黄山区黄山风景区,五岳归来不看山，黄山归来不看岳,"118.193977,30.097967"
广东·广州·番禺,岭南印象园,3633837019,文化古迹,4A景区,热度 0.74,广东省广州市番禺区外环西路,岭南印象园江面上龙船竞渡，水中好戏不断,"113.411898,23.041453"
湖南·张家界·武陵源区,张家界国家森林公园,852581432,文化古迹,5A景区,热度 0.9400000000000001,湖南省张家界市武陵源区,三千奇峰，八百秀水,"110.459244,29.336908"
陕西·西安·临潼区,华清宫,2005661316,文化古迹,5A景区,热度 0.9,陕西省西安市临潼区华清路038号,览盛唐宫阙，登骊山怀古，赏长恨歌舞,"109.218903,34.369881"
广西·贺州·昭平县,黄姚古镇,3457869885,文化古迹,4A景区,热度 1.0,广西壮族自治区贺州市昭平县,诗境家园，电影《面纱》拍摄地,"111.209664,24.254288"
江西·上饶·婺源县,婺源篁岭,2871359243,文化古迹,4A景区,热度 0.0,江西省上饶市婺源县江湾镇篁岭村,自游行的绝佳选择,"118.127595,29.339174"
江西·鹰潭,龙虎山,3661090256,文化古迹,5A景区,热度 0.7,江西省鹰潭市西南20公里处贵溪市境内,神秘的古越族文明，体验绝美的自然风光,"116.999461,28.090447"
